nohup: ignoring input
wandb: Currently logged in as: y4umeng (y4umeng-columbia-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Tracking run with wandb version 0.19.6
wandb: Run data is saved locally in /root/Projects/policy_distillation/src/wandb/run-20250305_054833-u93sd8l5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run policy_distillation_small_dqn/dqn_dqn4_da_0001_beamrider
wandb: ⭐️ View project at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn
wandb: 🚀 View run at https://wandb.ai/y4umeng-columbia-university/policy_distillation_small_dqn/runs/u93sd8l5
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
[36m[INFO] CONFIG:
DA:
  EPOCHS: 1
  LR: 0.0001
  PROB: 0.3
DATA:
  EXPLORATION_RATE: 0.05
  INCREMENT_SIZE: 54000
  MAX_CAPACITY: 540000
DISTILLER:
  ENV: BeamRiderNoFrameskip-v4
  STUDENT: dqn4
  TEACHER: dqn
  TYPE: DA
EXPERIMENT:
  DEVICE: cuda
  NAME: dqn_dqn4_da_0001_beamrider
  PROJECT: policy_distillation_small_dqn
  TAG: breakout, dqn, DA
LOG:
  BAR: false
  EVAL_EPISODES: 5
  EVAL_FREQ: 1
  PREFIX: ./output
  SAVE_CHECKPOINT_FREQ: 100
  WANDB: true
SOLVER:
  BATCH_SIZE: 32
  EPOCHS: 500
  LR: 0.0001
  LR_DECAY_RATE: 0.1
  LR_DECAY_STAGES: []
  MOMENTUM: 0.9
  SOFTMAX_TEMP: 0.01
  TRAINER: base
  TYPE: SGD
  WEIGHT_DECAY: 0.0001
[0m
Epoch 1. train_acc:  15.9, train_loss:  1.22, data_points:  5.4e+04, total_data_gen_time:  58, train_time:  0.00273, data_load_time:  4.79e-07, total_eval_time:  6.7, test_score:  660, best_score:  660, current lr:  0.0001, 
Epoch 99. train_acc:  49.5, train_loss:  0.696, data_points:  5.4e+05, total_data_gen_time:  61, train_time:  0.00265, data_load_time:  4.69e-07, total_eval_time:  90.4, test_score:  7.93e+03, best_score:  1.07e+04, current lr:  0.0001, 
Epoch 100. train_acc:  49.6, train_loss:  0.694, data_points:  5.4e+05, total_data_gen_time:  64.6, train_time:  0.00262, data_load_time:  4.71e-07, total_eval_time:  12.2, test_score:  6.68e+03, best_score:  1.07e+04, current lr:  0.0001, 
Epoch 101. train_acc:  49.6, train_loss:  0.694, data_points:  5.4e+05, total_data_gen_time:  62.3, train_time:  0.00305, data_load_time:  5.77e-07, total_eval_time:  34.2, test_score:  5.25e+03, best_score:  1.07e+04, current lr:  0.0001, 
Epoch 102. train_acc:  49.6, train_loss:  0.691, data_points:  5.4e+05, total_data_gen_time:  61.5, train_time:  0.00265, data_load_time:  4.73e-07, total_eval_time:  36.2, test_score:  7.04e+03, best_score:  1.07e+04, current lr:  0.0001, 
Epoch 103. train_acc:  49.7, train_loss:  0.691, data_points:  5.4e+05, total_data_gen_time:  62, train_time:  0.00266, data_load_time:  5.21e-07, total_eval_time:  62.1, test_score:  6.94e+03, best_score:  1.07e+04, current lr:  0.0001, 
Epoch 104. train_acc:  49.8, train_loss:  0.69, data_points:  5.4e+05, total_data_gen_time:  59.8, train_time:  0.00315, data_load_time:  4.95e-07, total_eval_time:  38.8, test_score:  1.21e+04, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 105. train_acc:  49.9, train_loss:  0.692, data_points:  5.4e+05, total_data_gen_time:  61.6, train_time:  0.0031, data_load_time:  5.16e-07, total_eval_time:  12.1, test_score:  7.83e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 106. train_acc:  49.9, train_loss:  0.693, data_points:  5.4e+05, total_data_gen_time:  63.4, train_time:  0.00317, data_load_time:  5.23e-07, total_eval_time:  12.1, test_score:  9.37e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 107. train_acc:  49.9, train_loss:  0.69, data_points:  5.4e+05, total_data_gen_time:  62.7, train_time:  0.00314, data_load_time:  5.3e-07, total_eval_time:  11.8, test_score:  7.07e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 108. train_acc:  50, train_loss:  0.691, data_points:  5.4e+05, total_data_gen_time:  61.4, train_time:  0.00361, data_load_time:  5.94e-07, total_eval_time:  12.3, test_score:  5.7e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 109. train_acc:  50, train_loss:  0.689, data_points:  5.4e+05, total_data_gen_time:  81.3, train_time:  0.00367, data_load_time:  5.88e-07, total_eval_time:  18, test_score:  9.12e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 110. train_acc:  50, train_loss:  0.69, data_points:  5.4e+05, total_data_gen_time:  80.1, train_time:  0.00355, data_load_time:  6.17e-07, total_eval_time:  20.6, test_score:  1.04e+04, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 111. train_acc:  50, train_loss:  0.691, data_points:  5.4e+05, total_data_gen_time:  82.2, train_time:  0.00356, data_load_time:  6.26e-07, total_eval_time:  46.5, test_score:  5.4e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 112. train_acc:  49.9, train_loss:  0.693, data_points:  5.4e+05, total_data_gen_time:  80.8, train_time:  0.00321, data_load_time:  5.97e-07, total_eval_time:  12.7, test_score:  9.58e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 113. train_acc:  49.9, train_loss:  0.689, data_points:  5.4e+05, total_data_gen_time:  59.3, train_time:  0.00275, data_load_time:  5.36e-07, total_eval_time:  13.6, test_score:  1.01e+04, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 114. train_acc:  49.8, train_loss:  0.688, data_points:  5.4e+05, total_data_gen_time:  61.2, train_time:  0.00305, data_load_time:  5.57e-07, total_eval_time:  12.8, test_score:  6.67e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 115. train_acc:  49.9, train_loss:  0.686, data_points:  5.4e+05, total_data_gen_time:  63.6, train_time:  0.00262, data_load_time:  4.99e-07, total_eval_time:  9.86, test_score:  6.68e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 116. train_acc:  49.7, train_loss:  0.692, data_points:  5.4e+05, total_data_gen_time:  62.7, train_time:  0.00275, data_load_time:  4.75e-07, total_eval_time:  38.9, test_score:  8.9e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 117. train_acc:  49.7, train_loss:  0.692, data_points:  5.4e+05, total_data_gen_time:  62.4, train_time:  0.00315, data_load_time:  5.47e-07, total_eval_time:  8.35, test_score:  2.93e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 118. train_acc:  49.6, train_loss:  0.687, data_points:  5.4e+05, total_data_gen_time:  62.5, train_time:  0.00346, data_load_time:  6.08e-07, total_eval_time:  12.8, test_score:  7.18e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 119. train_acc:  49.7, train_loss:  0.69, data_points:  5.4e+05, total_data_gen_time:  78.8, train_time:  0.00335, data_load_time:  5.82e-07, total_eval_time:  14.8, test_score:  5.86e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 120. train_acc:  49.6, train_loss:  0.688, data_points:  5.4e+05, total_data_gen_time:  79.7, train_time:  0.00327, data_load_time:  6.29e-07, total_eval_time:  16.3, test_score:  6.86e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 121. train_acc:  49.6, train_loss:  0.687, data_points:  5.4e+05, total_data_gen_time:  79.4, train_time:  0.00295, data_load_time:  5.71e-07, total_eval_time:  51.9, test_score:  7.34e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 122. train_acc:  49.7, train_loss:  0.687, data_points:  5.4e+05, total_data_gen_time:  81.6, train_time:  0.00301, data_load_time:  5.68e-07, total_eval_time:  14.8, test_score:  6.61e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 123. train_acc:  49.6, train_loss:  0.69, data_points:  5.4e+05, total_data_gen_time:  79.5, train_time:  0.00303, data_load_time:  5.7e-07, total_eval_time:  16.6, test_score:  8.23e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 124. train_acc:  49.9, train_loss:  0.689, data_points:  5.4e+05, total_data_gen_time:  81.4, train_time:  0.00309, data_load_time:  6.09e-07, total_eval_time:  12.6, test_score:  6.5e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 125. train_acc:  49.8, train_loss:  0.69, data_points:  5.4e+05, total_data_gen_time:  78.2, train_time:  0.0029, data_load_time:  5.07e-07, total_eval_time:  34.3, test_score:  5.89e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 126. train_acc:  50, train_loss:  0.682, data_points:  5.4e+05, total_data_gen_time:  61.7, train_time:  0.00318, data_load_time:  5.08e-07, total_eval_time:  9.67, test_score:  5.09e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 127. train_acc:  50.1, train_loss:  0.683, data_points:  5.4e+05, total_data_gen_time:  62.6, train_time:  0.00318, data_load_time:  5.2e-07, total_eval_time:  13.5, test_score:  8.33e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 128. train_acc:  50.1, train_loss:  0.689, data_points:  5.4e+05, total_data_gen_time:  69.7, train_time:  0.00376, data_load_time:  6.24e-07, total_eval_time:  36.3, test_score:  5.49e+03, best_score:  1.21e+04, current lr:  0.0001, 
Epoch 129. train_acc:  50.1, train_loss:  0.685, data_points:  5.4e+05, total_data_gen_time:  60.8, train_time:  0.00334, data_load_time:  5.81e-07, total_eval_time:  19.9, test_score:  1.7e+04, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 130. train_acc:  50.3, train_loss:  0.681, data_points:  5.4e+05, total_data_gen_time:  61.4, train_time:  0.00342, data_load_time:  5.39e-07, total_eval_time:  13.7, test_score:  5.8e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 131. train_acc:  50.2, train_loss:  0.683, data_points:  5.4e+05, total_data_gen_time:  79, train_time:  0.00356, data_load_time:  5.86e-07, total_eval_time:  14.2, test_score:  5.21e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 132. train_acc:  50.3, train_loss:  0.684, data_points:  5.4e+05, total_data_gen_time:  80.2, train_time:  0.0039, data_load_time:  6.45e-07, total_eval_time:  52.1, test_score:  9.41e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 133. train_acc:  50.2, train_loss:  0.685, data_points:  5.4e+05, total_data_gen_time:  83.2, train_time:  0.00373, data_load_time:  5.82e-07, total_eval_time:  20.1, test_score:  9.45e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 134. train_acc:  50.2, train_loss:  0.686, data_points:  5.4e+05, total_data_gen_time:  79.4, train_time:  0.00311, data_load_time:  5.64e-07, total_eval_time:  14.9, test_score:  7.49e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 135. train_acc:  50.3, train_loss:  0.684, data_points:  5.4e+05, total_data_gen_time:  80.2, train_time:  0.00304, data_load_time:  5.96e-07, total_eval_time:  16.4, test_score:  8.64e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 136. train_acc:  50.4, train_loss:  0.685, data_points:  5.4e+05, total_data_gen_time:  81.4, train_time:  0.00311, data_load_time:  5.19e-07, total_eval_time:  13.2, test_score:  9.35e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 137. train_acc:  50.4, train_loss:  0.68, data_points:  5.4e+05, total_data_gen_time:  60, train_time:  0.00325, data_load_time:  5.83e-07, total_eval_time:  8.52, test_score:  4.83e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 138. train_acc:  50.3, train_loss:  0.678, data_points:  5.4e+05, total_data_gen_time:  60.1, train_time:  0.00328, data_load_time:  5.33e-07, total_eval_time:  35.1, test_score:  4.88e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 139. train_acc:  50.5, train_loss:  0.674, data_points:  5.4e+05, total_data_gen_time:  61.6, train_time:  0.00349, data_load_time:  5.72e-07, total_eval_time:  14.7, test_score:  1.17e+04, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 140. train_acc:  50.5, train_loss:  0.675, data_points:  5.4e+05, total_data_gen_time:  59.5, train_time:  0.00336, data_load_time:  5.78e-07, total_eval_time:  12.2, test_score:  7.18e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 141. train_acc:  50.7, train_loss:  0.669, data_points:  5.4e+05, total_data_gen_time:  59.7, train_time:  0.00314, data_load_time:  4.99e-07, total_eval_time:  15.4, test_score:  1.1e+04, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 142. train_acc:  50.6, train_loss:  0.669, data_points:  5.4e+05, total_data_gen_time:  63.1, train_time:  0.00317, data_load_time:  4.6e-07, total_eval_time:  37.9, test_score:  8.43e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 143. train_acc:  50.6, train_loss:  0.668, data_points:  5.4e+05, total_data_gen_time:  61.7, train_time:  0.0035, data_load_time:  5.44e-07, total_eval_time:  17, test_score:  7.5e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 144. train_acc:  50.9, train_loss:  0.661, data_points:  5.4e+05, total_data_gen_time:  81.3, train_time:  0.00361, data_load_time:  5.97e-07, total_eval_time:  14.6, test_score:  7.14e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 145. train_acc:  50.9, train_loss:  0.661, data_points:  5.4e+05, total_data_gen_time:  80.4, train_time:  0.00359, data_load_time:  5.76e-07, total_eval_time:  18.4, test_score:  9.19e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 146. train_acc:  50.9, train_loss:  0.659, data_points:  5.4e+05, total_data_gen_time:  80.8, train_time:  0.00353, data_load_time:  5.89e-07, total_eval_time:  14.6, test_score:  5.44e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 147. train_acc:  50.7, train_loss:  0.664, data_points:  5.4e+05, total_data_gen_time:  79.8, train_time:  0.0035, data_load_time:  5.82e-07, total_eval_time:  35.8, test_score:  6.1e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 148. train_acc:  50.7, train_loss:  0.668, data_points:  5.4e+05, total_data_gen_time:  61.1, train_time:  0.00345, data_load_time:  5.24e-07, total_eval_time:  12.9, test_score:  9.56e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 149. train_acc:  50.5, train_loss:  0.675, data_points:  5.4e+05, total_data_gen_time:  59.9, train_time:  0.00315, data_load_time:  5.31e-07, total_eval_time:  14.9, test_score:  1.24e+04, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 150. train_acc:  50.6, train_loss:  0.677, data_points:  5.4e+05, total_data_gen_time:  62.5, train_time:  0.00314, data_load_time:  4.77e-07, total_eval_time:  14.6, test_score:  1.02e+04, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 151. train_acc:  50.4, train_loss:  0.68, data_points:  5.4e+05, total_data_gen_time:  62.4, train_time:  0.00284, data_load_time:  4.65e-07, total_eval_time:  9.34, test_score:  5.42e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 152. train_acc:  50.4, train_loss:  0.682, data_points:  5.4e+05, total_data_gen_time:  61.7, train_time:  0.00345, data_load_time:  5.95e-07, total_eval_time:  39.5, test_score:  7.17e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 153. train_acc:  50.5, train_loss:  0.677, data_points:  5.4e+05, total_data_gen_time:  61.6, train_time:  0.00326, data_load_time:  5.48e-07, total_eval_time:  11.5, test_score:  7.55e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 154. train_acc:  50.5, train_loss:  0.68, data_points:  5.4e+05, total_data_gen_time:  62.9, train_time:  0.00309, data_load_time:  4.93e-07, total_eval_time:  16, test_score:  1.11e+04, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 155. train_acc:  50.5, train_loss:  0.678, data_points:  5.4e+05, total_data_gen_time:  62, train_time:  0.00351, data_load_time:  5.7e-07, total_eval_time:  11.1, test_score:  6.23e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 156. train_acc:  50.6, train_loss:  0.677, data_points:  5.4e+05, total_data_gen_time:  59.2, train_time:  0.00331, data_load_time:  5.56e-07, total_eval_time:  42.4, test_score:  7.46e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 157. train_acc:  50.7, train_loss:  0.675, data_points:  5.4e+05, total_data_gen_time:  61.5, train_time:  0.00377, data_load_time:  6.09e-07, total_eval_time:  13.6, test_score:  6.67e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 158. train_acc:  50.6, train_loss:  0.672, data_points:  5.4e+05, total_data_gen_time:  60.5, train_time:  0.00258, data_load_time:  4.75e-07, total_eval_time:  11.2, test_score:  7.36e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 159. train_acc:  50.5, train_loss:  0.678, data_points:  5.4e+05, total_data_gen_time:  62.8, train_time:  0.00312, data_load_time:  5.01e-07, total_eval_time:  32.9, test_score:  6.45e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 160. train_acc:  50.6, train_loss:  0.679, data_points:  5.4e+05, total_data_gen_time:  62.2, train_time:  0.00373, data_load_time:  6.24e-07, total_eval_time:  46.6, test_score:  6.06e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 161. train_acc:  50.5, train_loss:  0.683, data_points:  5.4e+05, total_data_gen_time:  81, train_time:  0.00354, data_load_time:  5.89e-07, total_eval_time:  14.2, test_score:  5.18e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 162. train_acc:  50.5, train_loss:  0.682, data_points:  5.4e+05, total_data_gen_time:  80.1, train_time:  0.00358, data_load_time:  6.46e-07, total_eval_time:  19.1, test_score:  1.17e+04, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 163. train_acc:  50.5, train_loss:  0.683, data_points:  5.4e+05, total_data_gen_time:  82, train_time:  0.00286, data_load_time:  5.24e-07, total_eval_time:  34.3, test_score:  5.9e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 164. train_acc:  50.5, train_loss:  0.685, data_points:  5.4e+05, total_data_gen_time:  61, train_time:  0.00298, data_load_time:  5.6e-07, total_eval_time:  20, test_score:  1.41e+04, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 165. train_acc:  50.5, train_loss:  0.686, data_points:  5.4e+05, total_data_gen_time:  80.3, train_time:  0.00303, data_load_time:  5.85e-07, total_eval_time:  15.4, test_score:  7.44e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 166. train_acc:  50.4, train_loss:  0.687, data_points:  5.4e+05, total_data_gen_time:  83.9, train_time:  0.00299, data_load_time:  5.62e-07, total_eval_time:  20.4, test_score:  1.11e+04, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 167. train_acc:  50.4, train_loss:  0.684, data_points:  5.4e+05, total_data_gen_time:  80.6, train_time:  0.00308, data_load_time:  5.56e-07, total_eval_time:  78.7, test_score:  4.76e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 168. train_acc:  50.4, train_loss:  0.685, data_points:  5.4e+05, total_data_gen_time:  79.5, train_time:  0.00322, data_load_time:  5.7e-07, total_eval_time:  14.8, test_score:  8.66e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 169. train_acc:  50.5, train_loss:  0.681, data_points:  5.4e+05, total_data_gen_time:  81.8, train_time:  0.00368, data_load_time:  6.15e-07, total_eval_time:  49.5, test_score:  1.11e+04, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 170. train_acc:  50.6, train_loss:  0.677, data_points:  5.4e+05, total_data_gen_time:  72.7, train_time:  0.00352, data_load_time:  5.75e-07, total_eval_time:  15.1, test_score:  6.23e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 171. train_acc:  50.6, train_loss:  0.672, data_points:  5.4e+05, total_data_gen_time:  80.8, train_time:  0.00333, data_load_time:  5.34e-07, total_eval_time:  13.2, test_score:  7.62e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 172. train_acc:  50.6, train_loss:  0.672, data_points:  5.4e+05, total_data_gen_time:  61.5, train_time:  0.00298, data_load_time:  5.3e-07, total_eval_time:  11, test_score:  7.49e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 173. train_acc:  50.5, train_loss:  0.676, data_points:  5.4e+05, total_data_gen_time:  59.3, train_time:  0.00271, data_load_time:  4.99e-07, total_eval_time:  13.9, test_score:  7.74e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 174. train_acc:  50.4, train_loss:  0.679, data_points:  5.4e+05, total_data_gen_time:  60.3, train_time:  0.00276, data_load_time:  5.53e-07, total_eval_time:  11.1, test_score:  6.32e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 175. train_acc:  50.5, train_loss:  0.679, data_points:  5.4e+05, total_data_gen_time:  62.4, train_time:  0.00272, data_load_time:  4.57e-07, total_eval_time:  38.1, test_score:  7e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 176. train_acc:  50.5, train_loss:  0.678, data_points:  5.4e+05, total_data_gen_time:  60.1, train_time:  0.0026, data_load_time:  5.02e-07, total_eval_time:  14.8, test_score:  7.74e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 177. train_acc:  50.5, train_loss:  0.679, data_points:  5.4e+05, total_data_gen_time:  63.8, train_time:  0.00263, data_load_time:  4.9e-07, total_eval_time:  14.3, test_score:  7.76e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 178. train_acc:  50.7, train_loss:  0.671, data_points:  5.4e+05, total_data_gen_time:  63.4, train_time:  0.00261, data_load_time:  5.25e-07, total_eval_time:  13.9, test_score:  9.39e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 179. train_acc:  50.6, train_loss:  0.672, data_points:  5.4e+05, total_data_gen_time:  59.2, train_time:  0.00274, data_load_time:  5.18e-07, total_eval_time:  15, test_score:  1.25e+04, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 180. train_acc:  50.7, train_loss:  0.671, data_points:  5.4e+05, total_data_gen_time:  61.1, train_time:  0.00274, data_load_time:  5.4e-07, total_eval_time:  37.3, test_score:  6.78e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 181. train_acc:  50.7, train_loss:  0.674, data_points:  5.4e+05, total_data_gen_time:  61.2, train_time:  0.00263, data_load_time:  4.53e-07, total_eval_time:  17, test_score:  8.2e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 182. train_acc:  50.8, train_loss:  0.671, data_points:  5.4e+05, total_data_gen_time:  60.8, train_time:  0.00268, data_load_time:  4.71e-07, total_eval_time:  14.6, test_score:  7.85e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 183. train_acc:  50.9, train_loss:  0.669, data_points:  5.4e+05, total_data_gen_time:  61.3, train_time:  0.00265, data_load_time:  4.8e-07, total_eval_time:  41.8, test_score:  1.28e+04, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 184. train_acc:  50.9, train_loss:  0.667, data_points:  5.4e+05, total_data_gen_time:  61.3, train_time:  0.00262, data_load_time:  4.91e-07, total_eval_time:  11.7, test_score:  7.19e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 185. train_acc:  50.8, train_loss:  0.667, data_points:  5.4e+05, total_data_gen_time:  60.3, train_time:  0.00281, data_load_time:  5.34e-07, total_eval_time:  14.7, test_score:  9.79e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 186. train_acc:  50.8, train_loss:  0.668, data_points:  5.4e+05, total_data_gen_time:  60.5, train_time:  0.00333, data_load_time:  5.4e-07, total_eval_time:  11.9, test_score:  5.65e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 187. train_acc:  50.8, train_loss:  0.668, data_points:  5.4e+05, total_data_gen_time:  61.8, train_time:  0.00265, data_load_time:  5.24e-07, total_eval_time:  139, test_score:  5.34e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 188. train_acc:  50.7, train_loss:  0.672, data_points:  5.4e+05, total_data_gen_time:  61.7, train_time:  0.00316, data_load_time:  5.58e-07, total_eval_time:  16.3, test_score:  1.26e+04, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 189. train_acc:  50.7, train_loss:  0.668, data_points:  5.4e+05, total_data_gen_time:  67.5, train_time:  0.00361, data_load_time:  5.98e-07, total_eval_time:  16.7, test_score:  9.75e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 190. train_acc:  50.6, train_loss:  0.671, data_points:  5.4e+05, total_data_gen_time:  81.5, train_time:  0.00401, data_load_time:  6.25e-07, total_eval_time:  79.5, test_score:  7.34e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 191. train_acc:  50.6, train_loss:  0.673, data_points:  5.4e+05, total_data_gen_time:  79.5, train_time:  0.00368, data_load_time:  6.67e-07, total_eval_time:  50.1, test_score:  1.08e+04, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 192. train_acc:  50.6, train_loss:  0.671, data_points:  5.4e+05, total_data_gen_time:  80.1, train_time:  0.0034, data_load_time:  5.77e-07, total_eval_time:  37.1, test_score:  5.19e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 193. train_acc:  50.7, train_loss:  0.67, data_points:  5.4e+05, total_data_gen_time:  62.7, train_time:  0.00315, data_load_time:  5.01e-07, total_eval_time:  12.1, test_score:  5.41e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 194. train_acc:  50.8, train_loss:  0.673, data_points:  5.4e+05, total_data_gen_time:  60.5, train_time:  0.00335, data_load_time:  5.39e-07, total_eval_time:  38.9, test_score:  1.05e+04, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 195. train_acc:  50.7, train_loss:  0.671, data_points:  5.4e+05, total_data_gen_time:  61, train_time:  0.00268, data_load_time:  5.09e-07, total_eval_time:  11.1, test_score:  8.64e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 196. train_acc:  50.8, train_loss:  0.671, data_points:  5.4e+05, total_data_gen_time:  60.4, train_time:  0.00268, data_load_time:  4.96e-07, total_eval_time:  38.7, test_score:  6.43e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 197. train_acc:  50.7, train_loss:  0.673, data_points:  5.4e+05, total_data_gen_time:  59.3, train_time:  0.0026, data_load_time:  5.24e-07, total_eval_time:  15.1, test_score:  1.08e+04, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 198. train_acc:  50.8, train_loss:  0.672, data_points:  5.4e+05, total_data_gen_time:  60.9, train_time:  0.00292, data_load_time:  5.26e-07, total_eval_time:  38.5, test_score:  6.59e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 199. train_acc:  50.8, train_loss:  0.675, data_points:  5.4e+05, total_data_gen_time:  64.6, train_time:  0.00334, data_load_time:  5.77e-07, total_eval_time:  12.8, test_score:  9.34e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 200. train_acc:  50.8, train_loss:  0.675, data_points:  5.4e+05, total_data_gen_time:  60.6, train_time:  0.00311, data_load_time:  5.18e-07, total_eval_time:  15.5, test_score:  1.17e+04, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 201. train_acc:  50.9, train_loss:  0.671, data_points:  5.4e+05, total_data_gen_time:  62.2, train_time:  0.0031, data_load_time:  5.07e-07, total_eval_time:  12.8, test_score:  7.71e+03, best_score:  1.7e+04, current lr:  0.0001, 
Epoch 202. train_acc:  50.8, train_loss:  0.675, data_points:  5.4e+05, total_data_gen_time:  61, train_time:  0.00343, data_load_time:  5.79e-07, total_eval_time:  12.2, test_score:  6.93e+03, best_score:  1.7e+04, current lr:  0.0001, 
